sample ID	forward sequence count	reverse sequence count
S142	215027	215027
S41	212604	212604
S128	178857	178857
S167	173585	173585
S144	167739	167739
S175	162391	162391
S171	156402	156402
S176	153952	153952
S159	148309	148309
S182	146606	146606
S168	144774	144774
S143	142997	142997
S49	141374	141374
S67	140984	140984
S184	140188	140188
S111	131287	131287
S155	121071	121071
S151	119911	119911
S157	115616	115616
S133	104772	104772
S152	103672	103672
S139	101817	101817
S123	98496	98496
S120	97912	97912
S107	97886	97886
S158	92071	92071
S134	91067	91067
S160	83871	83871
S130	80922	80922
S150	77895	77895
S17	76631	76631
S45	75202	75202
S183	74910	74910
S127	72530	72530
S166	71912	71912
S73	63508	63508
S57	63230	63230
S165	60720	60720
S76	59685	59685
S101	58427	58427
S119	57889	57889
S31	51737	51737
S149	51312	51312
S33	51139	51139
S136	48947	48947
S178	46668	46668
S117	44935	44935
S126	44926	44926
S135	43854	43854
S65	43506	43506
S173	36638	36638
S68	35796	35796
S35	35628	35628
S83	31462	31462
S112	31014	31014
S51	29581	29581
S43	29504	29504
S75	29377	29377
S181	29371	29371
S115	28143	28143
S131	28002	28002
S27	27715	27715
S154	26136	26136
S170	25987	25987
S50	24626	24626
S29	24602	24602
S25	24088	24088
S163	23296	23296
S42	23117	23117
S54	21900	21900
S147	21690	21690
S122	21006	21006
S141	20744	20744
S88	20205	20205
S30	19844	19844
S37	19241	19241
S47	19028	19028
S109	18494	18494
S53	17813	17813
S114	17569	17569
S125	17290	17290
S106	17257	17257
S3	16285	16285
S13	16241	16241
S34	15998	15998
S48	15729	15729
S28	15545	15545
S105	15382	15382
S74	15197	15197
S26	14672	14672
S164	14513	14513
S59	14439	14439
S162	14303	14303
S44	14203	14203
S77	13922	13922
S21	13688	13688
S22	13553	13553
S6	13394	13394
S113	12855	12855
S24	12248	12248
S9	11825	11825
S12	11787	11787
S52	11667	11667
S60	11659	11659
S129	11536	11536
S20	11472	11472
S66	11362	11362
S72	11124	11124
S138	11075	11075
S82	11075	11075
S102	10400	10400
S5	9729	9729
S161	9701	9701
S81	9603	9603
S4	9511	9511
S185	9357	9357
S19	9208	9208
S11	9038	9038
S87	8775	8775
S62	8633	8633
S55	8437	8437
S56	8226	8226
S146	7961	7961
S46	7835	7835
S78	7828	7828
S36	7467	7467
S140	7202	7202
S71	7085	7085
S85	6996	6996
S18	6968	6968
S14	6771	6771
S40	5801	5801
S79	5798	5798
S172	5765	5765
S7	5324	5324
S1	5130	5130
S137	4980	4980
S177	4961	4961
S80	4923	4923
S86	4862	4862
S61	4841	4841
S70	4728	4728
S8	4668	4668
S10	4313	4313
S58	4172	4172
S64	4100	4100
S124	3764	3764
S156	3685	3685
S145	3391	3391
S132	3179	3179
S103	2723	2723
S148	2491	2491
S2	2348	2348
S180	2290	2290
S97	2264	2264
S153	2100	2100
S32	2087	2087
S38	1985	1985
S84	1913	1913
S121	1874	1874
S39	1865	1865
S63	1821	1821
S98	1785	1785
S100	1702	1702
S89	1606	1606
S108	1402	1402
S169	1338	1338
S16	1212	1212
S116	1029	1029
S104	923	923
S23	868	868
S179	844	844
S110	585	585
S15	514	514
S174	417	417
S99	413	413
S118	260	260
S69	233	233
S187	190	190
S186	140	140
S188	80	80
S192	70	70
S189	37	37
S191	36	36
S96	34	34
S190	16	16
S91	11	11
S90	10	10
S92	10	10
S93	4	4
S94	3	3
S95	1	1
