sample ID	forward sequence count	reverse sequence count
Besc71-r27-Aug2019-ITS	527357	527357
Besc801-corv-r9-Aug2018-ITS	458871	458871
Besc835-r23-Aug2018-ITS	434256	434256
Besc835-corv-r14-Aug2018-ITS	382006	382006
Besc148-r22-Feb2018-ITS	338688	338688
Besc71-corv-r10-Aug2019-ITS	317738	317738
GW9823-r8-Aug2018-ITS	257749	257749
GW9823-r8-Jun2018-ITS	219848	219848
Besc71-r21-Aug2019-ITS	203783	203783
Besc71-r21-Feb2018-ITS	203416	203416
Besc148-r15-Aug2019-ITS	198770	198770
D411-r8-Aug2019-ITS	197229	197229
Besc835-corv-r2-Aug2019-ITS	185606	185606
Besc835-corv-r12-Feb2018-ITS	178405	178405
Besc71-corv-r14-Feb2018-ITS	129238	129238
Besc71-r48-Aug2019-ITS	120581	120581
Besc103-r41-Feb2018-ITS	118496	118496
Besc835-corv-r5-Aug2019-ITS	112864	112864
Besc71-corv-r17-Aug2019-ITS	107255	107255
Besc835-r22-Feb2018-ITS	100183	100183
GW9823-r49-Aug2019-ITS	92232	92232
DD176-r11-Feb2018-ITS	91709	91709
GW9823-r35-Feb2018-ITS	89407	89407
Besc71-corv-r9-Aug2018-ITS	70041	70041
Besc103-corv-r14-Feb2018-ITS	69714	69714
D176-r5-Aug2019-ITS	69268	69268
Besc801-r44-Feb2018-ITS	68937	68937
Besc801-corv-r9-Jun2018-ITS	66983	66983
Besc261-corv-r13-Aug2019-ITS	65961	65961
D176-r5-Aug2018-ITS	64498	64498
Besc801-corv-r11-Aug2019-ITS	64391	64391
Besc148-Corv-r1-Aug2019-ITS	64382	64382
Besc71-r48-Feb2018-ITS	61372	61372
DD176-r17-Feb2018-ITS	61141	61141
GW9823-corv-r1-Aug2018-ITS	59463	59463
Besc801-corv-r17-Feb2018-ITS	52930	52930
Besc103-r23-Jun2018-ITS	49314	49314
Besc835-corv-r14-Jun2018-ITS	46177	46177
Besc103-r24-Feb2018-ITS	45504	45504
D411-r15-Feb2018-ITS	45169	45169
Besc148-r11-Feb2018-ITS	39661	39661
Besc71-corv-r5-Aug2019-ITS	39072	39072
Besc261-corv-r15-Feb2018-ITS	38644	38644
Besc835-r8-Feb2018-ITS	36733	36733
DD176-r5-Feb2018-ITS	35794	35794
Besd-22-corv-r7-Feb2018-ITS	33798	33798
Besc103-r7-Feb2018-ITS	33068	33068
D411-r15-Aug2019-ITS	32172	32172
Besc148-r5-Feb2018-ITS	32125	32125
Besc835-corv-r5-Feb2018-ITS	31807	31807
GW9823-r35-Aug2019-ITS	29171	29171
Besc71-r44-Aug2018-ITS	29098	29098
Besc71-corv-r5-Feb2018-ITS	27976	27976
Besc261-corv-r6-Feb2018-ITS	26678	26678
Besc71-r27-Feb2018-ITS	24426	24426
Besc103-r24-Aug2019-ITS	24175	24175
Besc261-corv-r15-Aug2018-ITS	23433	23433
Besc801-corv-r2-Feb2018-ITS	22931	22931
Besc148-corv-r17-Aug2018-ITS	22436	22436
Besc835-corv-r1-Feb2018-ITS	22281	22281
Besc148-corv-r4-Feb2018-ITS	21773	21773
D411-r17-Aug2019-ITS	21415	21415
Besc801-r7-Feb2018-ITS	20311	20311
Besc103-r11-Jun2018-ITS	20178	20178
Besc801-corv-r7-Jun2018-ITS	19380	19380
GW9823-corv-r5-Feb2018-ITS	16784	16784
GW9823-r49-Feb2018-ITS	16008	16008
Besc71-corv-r1-Aug2018-ITS	15592	15592
Besc148-corv-r5-Feb2018-ITS	15581	15581
Besc103-corv-r9-Aug2019-ITS	15341	15341
Besc835-corv-r16-Jun2018-ITS	14621	14621
Besc261-corv-r11-Feb2018-ITS	13761	13761
D411-r26-Feb2018-ITS	13239	13239
Besdc-801-r23-Feb2018-ITS	11859	11859
Besc71-corv-r10-Feb2018-ITS	11751	11751
GW9823-r5-Feb2018-ITS	10876	10876
D411-r4-Feb2018-ITS	10402	10402
Besc835-r42-Feb2018-ITS	7315	7315
GW9823-corv-r1-Aug2019-ITS	6528	6528
Besc71-r9-Feb2018-ITS	3381	3381
Besc103-corv-r6-Feb2018-ITS	3030	3030
Besc801-r23-Aug2019-ITS	2933	2933
Besc22-corv-r15-Feb2018-ITS	2840	2840
Besc801-corv-r11-Feb2018-ITS	2711	2711
Besc103-corv-r12-Feb2018-ITS	1182	1182
GW9823-r5-Aug2019-ITS	350	350
Besc22-corv-r3-Feb2018-ITS	252	252
Besc103-corv-r3-Jun2018-ITS	117	117
