sample ID	forward sequence count	reverse sequence count
S9G-P4-Root-ITS	21412	21412
S5C-P5-Root-ITS	21237	21237
S11C-P4-Root-ITS	21156	21156
S6A-P5-Root-ITS	19677	19677
S7D-P4-Root-ITS	19503	19503
S2D-P5-Root-ITS	18984	18984
S9C-P3-Root-ITS	17900	17900
S1E-P5-Root-ITS	17522	17522
S4F-P5-Root-ITS	16775	16775
S6B-P3-Root-ITS	15383	15383
S4C-P3-Root-ITS	15327	15327
S10A-P3-Root-ITS	14685	14685
S1C-P3-Root-ITS	14489	14489
S3H-P3-Root-ITS	14348	14348
S6C-P3-Root-ITS	13946	13946
S7C-P4-Root-ITS	13822	13822
S2G-P5-Root-ITS	13290	13290
S3A-P3-Root-ITS	12222	12222
S2C-P5-Root-ITS	12144	12144
S3C-P3-Root-ITS	11905	11905
S5B-P3-Root-ITS	11225	11225
S2H-P4-Root-ITS	11223	11223
S6C-P4-Root-ITS	11211	11211
S2C-P3-Root-ITS	9956	9956
S7G-P3-Root-ITS	9108	9108
S2E-P5-Root-ITS	8314	8314
S8A-P3-Root-ITS	8078	8078
S8F-P3-Root-ITS	7470	7470
S2H-P3-Root-ITS	7469	7469
S6G-P3-Root-ITS	6572	6572
S5G-P5-Root-ITS	6376	6376
S9A-P3-Root-ITS	6282	6282
S7B-P3-Root-ITS	5964	5964
S6A-P3-Root-ITS	5926	5926
S5E-P5-Root-ITS	5520	5520
S4G-P5-Root-ITS	5084	5084
S6F-P3-Root-ITS	4787	4787
S2D-P4-Root-ITS	4035	4035
S5D-P5-Root-ITS	3872	3872
S2A-P3-Root-ITS	3071	3071
b1	2768	2768
f1	1954	1954
g1	1362	1362
S7H-P3-Root-ITS	1304	1304
a1	1226	1226
d1	1209	1209
S6E-P3-Root-ITS	1125	1125
c1	1088	1088
e1	1043	1043
S3G-P4-Root-ITS	813	813
S2F-P4-Root-ITS	785	785
S5H-P3-Root-ITS	779	779
S4D-P4-Root-ITS	481	481
S4E-P3-Root-ITS	165	165
NTC-Amp1-P5-Root-ITS	96	96
S3C-P5-Root-ITS	94	94
Ext-Blank4-P5-Root-ITS	86	86
Ext-Blank2-P5-Root-ITS	79	79
Ext-Blank2-P3-Root-ITS	70	70
empty1	64	64
Ext-Blank1-P3-Root-ITS	58	58
Ext-Blank1-P5-Root-ITS	57	57
empty2-P4	52	52
NTC-Amp2-P4-Root-ITS	46	46
NTC-Amp1-P3-Root-ITS	45	45
NTC-Amp2-P3-Root-ITS	35	35
empty1-P4	27	27
NTC-Amp1-P4-Root-ITS	24	24
Ext-Blank2-P4-Root-ITS	24	24
Ext-Blank3-P5-Root-ITS	9	9
Ext-Blank1-P4-Root-ITS	8	8
NTC-Amp2-P5-Root-ITS	7	7
