sample ID	forward sequence count	reverse sequence count
BESC261-Corv-R10-Winter2019-ITS	315647	315647
BESC103-Corv-R6-Jun2019-ITS	228541	228541
BESC148-Corv-R1-Winter2019-ITS	226766	226766
BESC103-R7-Jun2019-ITS	219276	219276
BESC71-Corv-R17-Fall2018-ITS	215551	215551
D176-R5-Jun2019-ITS	208963	208963
BESC22-Corv-R16-Winter2019-ITS	202161	202161
BESC103-R41-Jun2019-ITS	201911	201911
BESC801-Corv-R9-Winter2019-ITS	201464	201464
BESC103-Corv-R12-Jun2019-ITS	189660	189660
D411-R26-Jun2019-ITS	186979	186979
BESC835-R42-Jun2019-ITS	184796	184796
BESC148-R1-Winter2019-ITS	174116	174116
BESC835-Corv-R14-Winter2019-ITS	166323	166323
GW9823-R35-Jun2019-ITS	158684	158684
BESC835-R10-Winter2019-ITS	157356	157356
D411-R8-Winter2019-ITS	152205	152205
BESC71-Corv-R10-Jun2019-ITS	148053	148053
BESC261-Corv-R11-Jun2019-ITS	147694	147694
BESC148-Corv-R1-Fall2018-ITS	146774	146774
D176-R9-Winter2019-ITS	143552	143552
BESC261-Corv-R15-Jun2019-ITS	132853	132853
BESC148-R22-Jun2019-ITS	132798	132798
BESC71-Corv-R5-Jun2019-ITS	127377	127377
BESC261-Corv-R6-Jun2019-ITS	126716	126716
BESC103-Corv-R3-Winter2019-ITS	124797	124797
BESC801-R3-Winter2019-ITS	123995	123995
D176-R17-Fall2018-ITS	122770	122770
BESC801-Corv-R2-Jun2019-ITS	121608	121608
BESC835-R822-Jun2019-ITS	116676	116676
BESC103-Corv-R16-Winter2019-ITS	115558	115558
BESC261-Corv-R15-Winter2019-ITS	115166	115166
D411-R17-Winter2019-ITS	113859	113859
BESC261-Corv-R16-Fall2018-ITS	112878	112878
BESC835-Corv-R1-Jun2019-ITS	112129	112129
BESC103-R11-Fall2018-ITS	111910	111910
GW9823-Corv-R5-Jun2019-ITS	111065	111065
GW9823-R5-Jun2019-ITS	110955	110955
BESC148-R8-Winter2019-ITS	109629	109629
BESC801-R44-Jun2019-ITS	109354	109354
BESC103-R40-Fall2018-ITS	109236	109236
BESC71-R3-Winter2019-ITS	107665	107665
BESC148-Corv-R4-Jun2019-ITS	106171	106171
D411-R22-Winter2019-ITS	105973	105973
BESC148-Corv-R7-Winter2019-ITS	103859	103859
BESC22-Corv-R15-Jun2019-ITS	102325	102325
GW9823-Corv-R8-Winter2019-ITS	102070	102070
BESC835-Corv-R6-Winter2019-ITS	98534	98534
BESC71-R9-Jun2019-ITS	95615	95615
D411-R15-Jun2019-ITS	95437	95437
BESC801-R8-Jun2019-ITS	89603	89603
BESC835-R12-Jun2019-ITS	89586	89586
BESC103-R24-Jun2019-ITS	86788	86788
D176-R11-Jun2019-ITS	85745	85745
BESC71-Corv-R17-Winter2019-ITS	85457	85457
D176-R5-Winter2019-ITS	84373	84373
BESC103-R40-Winter2019-ITS	82329	82329
BESC22-Corv-R7-Jun2019-ITS	81510	81510
D176-R17-Jun2019-ITS	80321	80321
BESC835-R22-Jun2019-ITS	77142	77142
BESC71-Corv-R14-Jun2019-ITS	75894	75894
BESC71-Corv-R1-Winter2019-ITS	73670	73670
GW9823-R32-Winter2019-ITS	70194	70194
BESC71-Corv-R9-Winter2019-ITS	69385	69385
D411-R4-Jun2019-ITS	68985	68985
BESC801-Corv-R11-Jun2019-ITS	68496	68496
BESC148-Corv-R5-Jun2019-ITS	67935	67935
BESC71-R48-Jun2019-ITS	66561	66561
BESC71-R44-Winter2019-ITS	66071	66071
BESC801-R23-Jun2019-ITS	65347	65347
GW9823-Corv-R1-Winter2019-ITS	65006	65006
BESC148-R16-Winter2019-ITS	64528	64528
BESC71-R27-Jun2019-ITS	64387	64387
BESC22-Corv-R3-Jun2019-ITS	64335	64335
GW9823-R43-Winter2019-ITS	58891	58891
BESC801-Corv-R7-Winter2019-ITS	58604	58604
BESC801-Corv-R17-Winter2019-ITS	57911	57911
BESC801-R16-Winter2019-ITS	55396	55396
BESC103-R11-Winter2019-ITS	55007	55007
BESC835-R41-Winter2019-ITS	54299	54299
D176-R27-Winter2019-ITS	52797	52797
GW9823-R49-Jun2019-ITS	51771	51771
GW9823-R8-Winter2019-ITS	46610	46610
BESC835-Corv-R16-Winter2019-ITS	45205	45205
BESC148-R11-Jun2019-ITS	44338	44338
BESC22-Corv-R11-Winter2019-ITS	44283	44283
BESC835-R24-Winter2019-ITS	43535	43535
BESC103-Corv-R9-Winter2019-ITS	41792	41792
BESC71-R21-Winter2019-ITS	40323	40323
BESC103-Corv-R14-Jun2019-ITS	40167	40167
BESC801-R41-Winter2019-ITS	39229	39229
BESC261-Corv-R2-Winter2019-ITS	30148	30148
BESC22-Corv-R4-Winter2019-ITS	18714	18714
BESC103-R23-Winter2019-ITS	17406	17406
BESC835-Corv-R5-Jun2019-ITS	1606	1606
BESC148-R5-Jun2019-ITS	664	664
