sample ID	forward sequence count	reverse sequence count
DD176-r15-Jun2017-ITS	249141	249141
Besc-103-corv-R3-Jan2019-ITS	234097	234097
Besc-71-r4-Jun2017-ITS	225151	225151
Besc-71-corv-R1-Jan2019-ITS	219653	219653
Besc-261-corv-R2-Jan2019-ITS	219093	219093
Besc-22-corv-r14-Jun2017-ITS	212781	212781
GW9823-corv-R1-Jan2019-ITS	209159	209159
Besc-148-R17-Jan2019-ITS	207089	207089
D411-R22-Jan2019-ITS	196597	196597
Besc-22-corv-R16-Jan2019-ITS	194301	194301
Besc-71-R3-Jan2019-ITS	194083	194083
Besc-103-corv-R9-Jan2019-ITS	191670	191670
Besc-801-corv-r10-Jun2017-ITS	188342	188342
Besc-103-corv-R16-Jan2019-ITS	186017	186017
Besc-835-R23-Jan2019-ITS	183120	183120
Besc-801-R3-Jan2019-ITS	177282	177282
Besc-148-r7-Jun2017-ITS	168035	168035
GW9823-corv-r12-Jun2017-ITS	166180	166180
Besc-835-r47-Jun2017-ITS	164695	164695
Besc-148-corv-R7-Jan2019-ITS	162164	162164
GW9823-corv-R8-Fall2018-ITS	161059	161059
GW9823-R32-Fall2018-ITS	160258	160258
Besc-22-corv-R11-Jan2019-ITS	159166	159166
D411-R17-Jan2019-ITS	158356	158356
Besc-148-corv-R1-Jan2019-ITS	157007	157007
Besc-835-corv-R16-Jan2019-ITS	153811	153811
Besc-835-corv-R14-Jan2019-ITS	151973	151973
Besc-261-corv-R10-Fall2018-ITS	148128	148128
D411-R7-Jan2019-ITS	146603	146603
Besc-103-corv-r10-Jun2017-ITS	146289	146289
D176-R9-Fall2018-ITS	145873	145873
Besc-71-R44-Jan2019-ITS	143820	143820
Besc-835-R41-Fall2018-ITS	141926	141926
D411-R17-Fall2018-ITS	141311	141311
Besc-835-corv-R14-Fall2018-ITS	137721	137721
GW9823-R8-Jan2019-ITS	136138	136138
Besc-103-R23-Jan2019-ITS	132161	132161
Besc-801-R16-Fall2018-ITS	131460	131460
Besc-103-R11-Jan2019-ITS	131338	131338
D411-r14-Jun2017-ITS	128527	128527
GW9823-corv-R8-Jan2019-ITS	127260	127260
Besc-801-corv-R9-Fall2018-ITS	127169	127169
Besc-148-corv-r8-Jun2017-ITS	124843	124843
Besc-261-corv-R15-Jan2019-B12-ITS	124679	124679
Besc-835-R23-Fall2018-ITS	124584	124584
Besc-801-corv-R9-Jan2019-ITS	123694	123694
Besc-71-r24-Jun2017-ITS	121359	121359
DD176-R5-Jan2019-ITS	117975	117975
Besc-22-corv-R11-Fall2018-ITS	116164	116164
Besc-835-corv-r11-Jun2017-ITS	113430	113430
GW9823-R43-Jan2019-ITS	112518	112518
Besc-835-r3-Jun2017-ITS	111969	111969
Besc-835-R10-Fall2018-ITS	108596	108596
Besc-801-R41-Jan2019-ITS	107012	107012
Besc-835-corv-R16-Fall2018-ITS	106973	106973
Besc-261-corv-R10-Jan2019-ITS	105887	105887
D176-R17-Jan2019-ITS	105812	105812
Besc-22-corv-R6-Jan2019-ITS	103989	103989
Besc-22-corv-r9-Jun2017-ITS	103068	103068
Besc-835-r20-Jun2017-ITS	102140	102140
Besc-801-R16-Jan2019-ITS	97622	97622
Besc-835-R41-Jan2019-ITS	97117	97117
Besc-103-R23-Fall2018-ITS	97100	97100
Besc-801-corv-R7-Jan2019-ITS	96500	96500
Besc-261-corv-r16-Jun2017-ITS	94627	94627
Besc-71-corv-R9-Fall2018-ITS	94358	94358
Besc-71-corv-R1-Fall2018-ITS	93601	93601
Besc-801-corv-r6-Jun2017-ITS	92534	92534
Besc-103-corv-R3-Fall2018-ITS	92011	92011
DD176-R9-Jan2019-ITS	91938	91938
Besc-835-R10-Jan2019-ITS	89046	89046
Besc-835-corv-R6-Fall2018-ITS	85982	85982
Besc-22-corv-R6-Fall2018-ITS	83149	83149
Besc-835-corv-r17-Jun2017-ITS	82814	82814
Besc-71-corv-r12-Jun2017-ITS	82741	82741
Besc-103-R40-Jan2019-ITS	82128	82128
Besc-71-R3-Fall2018-ITS	82029	82029
GW9823-R32-Jan2019-ITS	80529	80529
Besc-71-R21-Fall2018-ITS	79997	79997
D411-R7-Fall2018-ITS	76835	76835
Besc-148-corv-r11-Jun2017-ITS	75343	75343
Besc-22-corv-R16-Fall2018-ITS	75220	75220
Besc-71-corv-R17-Jan2019-ITS	74853	74853
D411-r23-Jun2017-ITS	69333	69333
Besc-148-r28-Jun2017-ITS	68484	68484
Besc-261-corv-r3-Jun2017-ITS	63663	63663
Besc-801-corv-R17-Jan2019-ITS	62554	62554
D176-R5-Fall2018-ITS	60279	60279
Besc-835-corv-R6-Jan2019-ITS	51420	51420
Besc-801-R3-Fall2018-ITS	50648	50648
Besc-261-corv-r9-Jun2017-ITS	37850	37850
GW9823-corv-r7-Jun2017-ITS	35833	35833
Besc-148-R8-Jan2019-ITS	34737	34737
Besc-148-r12-Jun2017-ITS	29177	29177
Besc-261-corv-R15-Jan2019-G11-ITS	16980	16980
Besc-148-R1-Jan2019-ITS	1523	1523
