sample ID	forward sequence count	reverse sequence count
Besc148-corv-R4-Jun2019-ITS	25585	25585
Besc835-corv-R14-Aug2019-ITS	25554	25554
GW9823corv-R5-Aug2019-ITS	25232	25232
Besc71-corv-R17-Aug2019-ITS	25032	25032
GW9823-R28-Aug2019-ITS	24806	24806
GW9823-R32-Oct2018-ITS	24792	24792
Besc22-corv-R15-Oct2019-ITS	24791	24791
Besc261-corv-R11-Jun2019-ITS	24698	24698
Besc22-corv-R12-Aug2019-ITS	24485	24485
Besc22-corv-R7-Oct2019-ITS	24359	24359
GW9823-corv-R8-Oct2018-ITS	24129	24129
Besc835-R1-Jun2019-ITS	23879	23879
Besc261-corv-R16-Oct2018-ITS	23605	23605
Besc22-R16-Jun2018-ITS	23434	23434
Besc801-corv-R2-Jun2019-ITS	23127	23127
Besc148-R22-Aug2019-ITS	23092	23092
Besc835-corv-R5-Aug2019-ITS	23054	23054
GW9823corv-R5-Oct2019-ITS	22720	22720
Besc261-corv-R15-Aug2019-ITS	22248	22248
GW9823-R49-Aug2019-ITS	22056	22056
Besc801-R8-Jun2019-ITS	21484	21484
Besc22-corv-R6-Oct2018-ITS	20945	20945
Besc71-R44-Oct2018-ITS	19721	19721
BESC103-corv-R3-Oct2018-ITS	19646	19646
Besc103-corv-R9-Oct2018-ITS	19343	19343
Besccorv-R1-Oct2019-ITS	19048	19048
Besc801-R23-Aug2019-ITS	19010	19010
D411-R4-Aug2019-ITS	18783	18783
Besc835-corv-R12-Aug2019-ITS	18591	18591
Besc148-corv-R9-Aug2019-ITS	18334	18334
Besc148-corv-R4-Aug2019-ITS	18274	18274
Besc71-R21-Oct2018-ITS-B	18183	18183
Besc103-corv-R7-Aug2019-ITS	17578	17578
Besc801-R23-Jun2019-ITS	17532	17532
Besc835-corv-R22-Aug2019-ITS	17475	17475
GW9823-R5-Jun2019-ITS	16797	16797
D411-R26-Aug2019-ITS	16755	16755
Besc103-corv-R16-Jun2018-ITS	16544	16544
Besc148-corv-R1-Oct2018-ITS	16209	16209
D411-R26-Jun2019-ITS	16164	16164
Besc261-corv-R16-Oct2019-ITS	16121	16121
D176-R47-Oct2019-ITS	15940	15940
Besc801-corv-R9-Jun2018-ITS	15619	15619
Besc103-R40-Oct2018-ITS	15348	15348
Besc103-corv-R14-Oct2019-ITS	14448	14448
Besc148-corv-R5-Aug2019-ITS	14316	14316
D411-R8-Aug2019-ITS	13961	13961
D411-R15-Jun2019-ITS	13845	13845
Besc801-R16-Oct2018-ITS	13682	13682
Besc835-corv-R6-Jun2018-ITS	13651	13651
Besc801-R26-Jun2018-ITS	13550	13550
Besc835-corv-R1-Aug2019-ITS	13465	13465
Besc71-R44-Jun2018-ITS	12802	12802
Besc71-corv-R9-Oct2018-ITS	12664	12664
D411-R4-Jun2019-ITS	12657	12657
besc835-R-Jun2019-ITS	12543	12543
Besc835-corv-R5-Jun2019-ITS	12448	12448
Besc801-corv-R11-Jun2019-ITS	12402	12402
Besc835-corv-R2-Aug2019-ITS	12276	12276
D176-R11-Jun2019-ITS	11942	11942
Besc835-R22-Jun2019-ITS	11887	11887
Besc801-corv-R17-Oct2018-ITS-B	11763	11763
BESC71-corv-R17-Oct2018-ITS	11528	11528
Besc801-R41-Oct2018-ITS	11469	11469
Besc261-corv-R15-Jun2018-ITS	11468	11468
Besc71-corv-R17-Jun2018-ITS	11090	11090
Besc901-corv-R7-Aug2019-ITS	10916	10916
Besc801-R1-Aug2019-ITS	10769	10769
Besc835-R42-Aug2019-ITS	10745	10745
Besc801-R3-Jun2018-ITS	10537	10537
D176-R17-Jun2019-ITS	9851	9851
Besc835-R41-Jun2018-ITS	9385	9385
GW9823-corv-R8-Jun2018-ITS	9088	9088
Besc103-corv-R3-Jun2018-ITS	8677	8677
D176-R17-Oct2018-ITS	8553	8553
D411-R7-Oct2018-ITS-B	8544	8544
Besc801-R41-Oct2018-ITS-B	8159	8159
Besc22-corv-R11-Jun2018-ITS	7760	7760
Besc103-corv-R6-Aug2019-ITS	7760	7760
Besc103-R9-Jun2018-ITS	7683	7683
GW9823-R8-Jun2018-ITS	7668	7668
Besc103-R11-Jun2018-ITS	7366	7366
GW9823corv-R1-Jun2018-ITS	7141	7141
Besc261-corv-R2-Jun2018-ITS	7116	7116
Besc22-corv-R6-Jun2018-ITS	7026	7026
Besc835-R41-Oct2018-ITS	7008	7008
Besc103-R40-Jun2018-ITS	6996	6996
Besc801-corv-R17-Oct2018-ITS	6902	6902
D176-R17-Jun2018-ITS	6753	6753
Besc835-R30-Aug2019-ITS	6541	6541
GW9823-R32-Jun2018-ITS	6472	6472
Besc148-corv-R7-Jun2018-ITS	5902	5902
Besc71-R21-Oct2018-ITS	5732	5732
Besc835-R10-Oct2018-ITS-B	5709	5709
GW9823-R43-Jun2018-ITS	5522	5522
Besc261-corv-R10-Jun2018-ITS	5497	5497
Besc835-R23-Jun2018-ITS	5335	5335
Besc801-corv-R9-Oct2018-ITS	5018	5018
Besc103-R23-Jun2018-ITS	4943	4943
D176-R9-Jun2018-ITS	4901	4901
D411-R17-Jun2018-ITS	4881	4881
Besc71-corv-R1-Jun2018-ITS	4863	4863
DD176-R5-Oct2018-ITS	4280	4280
Besc71-corv-R5-Aug2019-ITS	4074	4074
