sample ID	forward sequence count	reverse sequence count
S3H-P5-Root-16S	159753	159753
S1G-P4-Root-16S	136017	136017
S3G-P3-Root-16S	131497	131497
S1H-P5-Root-16S	114622	114622
S5H-P4-Root-16S	111461	111461
S2D-P3-Root-16S	104010	104010
S4H-P5-Root-16S	102357	102357
S7D-P3-Root-16S	97823	97823
S5H-P5-Root-16S	97055	97055
S7F-P3-Root-16S	96973	96973
S1D-P3-Root-16S	93608	93608
S3F-P4-Root-16S	92878	92878
S1F-P4-Root-16S	91872	91872
S1H-P4-Root-16S	79765	79765
S10F-P4-Root-16S	79361	79361
S1G-P3-Root-16S	78628	78628
S4A-P5-Root-16S	76676	76676
S1G-P5-Root-16S	76619	76619
S2G-P3-Root-16S	75911	75911
S10H-P4-Root-16S	74807	74807
S9H-P4-Root-16S	72798	72798
S1F-P5-Root-16S	66266	66266
S5F-P4-Root-16S	58685	58685
S3H-P3-Root-16S	57973	57973
S7F-P4-Root-16S	56073	56073
S4H-P4-Root-16S	54897	54897
S8E-P3-Root-16S	54775	54775
S1E-P3-Root-16S	52628	52628
S6E-P4-Root-16S	51205	51205
S6H-P3-Root-16S	49859	49859
S2F-P3-Root-16S	49180	49180
S9A-P4-Root-16S	47917	47917
S3F-P3-Root-16S	47660	47660
S9F-P3-Root-16S	46218	46218
S3D-P3-Root-16S	46201	46201
S11F-P4-Root-16S	45689	45689
S4E-P4-Root-16S	45097	45097
S8H-P4-Root-16S	44405	44405
S8A-P3-Root-16S	44395	44395
S11B-P4-Root-16S	44356	44356
S5G-P5-Root-16S	44239	44239
S8F-P4-Root-16S	43493	43493
S7G-P3-Root-16S	40829	40829
S3A-P5-Root-16S	40591	40591
S6D-P4-Root-16S	39904	39904
S4D-P3-Root-16S	39517	39517
S2E-P4-Root-16S	38197	38197
S6C-P5-Root-16S	37688	37688
S4F-P3-Root-16S	37153	37153
S8E-P4-Root-16S	36596	36596
S5A-P5-Root-16S	36432	36432
