sample ID	forward sequence count	reverse sequence count
S8C-P3-Root-16S	35932	35932
S5G-P4-Root-16S	35896	35896
S1A-P5-Root-16S	35706	35706
S2A-P5-Root-16S	34650	34650
S10D-P4-Root-16S	34645	34645
S6F-P4-Root-16S	34061	34061
S1D-P4-Root-16S	33767	33767
S3B-P3-Root-16S	33227	33227
S4G-P5-Root-16S	32937	32937
S9B-P3-Root-16S	31706	31706
S2B-P4-Root-16S	31294	31294
S4A-P3-Root-16S	31141	31141
S7E-P3-Root-16S	30766	30766
S1E-P4-Root-16S	29837	29837
S8B-P3-Root-16S	27698	27698
S2E-P3-Root-16S	26594	26594
S8A-P4-Root-16S	26410	26410
S10G-P4-Root-16S	26360	26360
S3C-P5-Root-16S	26047	26047
S5E-P3-Root-16S	25679	25679
S1C-P3-Root-16S	25658	25658
S2G-P4-Root-16S	24538	24538
S11A-P4-Root-16S	24489	24489
S9B-P4-Root-16S	23730	23730
S8H-P3-Root-16S	23505	23505
S7A-P3-Root-16S	23353	23353
S9G-P3-Root-16S	23033	23033
S2B-P5-Root-16S	22564	22564
S1C-P5-Root-16S	22340	22340
S5C-P3-Root-16S	22232	22232
S3G-P5-Root-16S	21904	21904
S9D-P3-Root-16S	21798	21798
S4D-P5-Root-16S	21514	21514
S5C-P5-Root-16S	21087	21087
S9F-P4-Root-16S	21061	21061
S2H-P4-Root-16S	20983	20983
S8D-P4-Root-16S	20950	20950
S11E-P4-Root-16S	20840	20840
S8G-P3-Root-16S	20488	20488
S5G-P3-Root-16S	20273	20273
S10A-P4-Root-16S	20155	20155
S12B-P4-Root-16S	19978	19978
S3E-P3-Root-16S	19924	19924
S7E-P4-Root-16S	19236	19236
S3B-P5-Root-16S	18980	18980
S1F-P3-Root-16S	18880	18880
S3A-P4-Root-16S	18411	18411
S3D-P5-Root-16S	18391	18391
S5D-P3-Root-16S	18112	18112
S2C-P5-Root-16S	18073	18073
S5B-P5-Root-16S	18056	18056
S10E-P4-Root-16S	18051	18051
S1C-P4-Root-16S	18047	18047
S7H-P4-Root-16S	17937	17937
S4F-P4-Root-16S	17828	17828
S12A-P4-Root-16S	17336	17336
S8D-P3-Root-16S	17335	17335
S1D-P5-Root-16S	17306	17306
S1B-P5-Root-16S	16851	16851
S7B-P4-Root-16S	16303	16303
S3E-P4-Root-16S	16244	16244
S9A-P3-Root-16S	16236	16236
S6G-P3-Root-16S	16119	16119
S2A-P4-Root-16S	15866	15866
S4G-P3-Root-16S	15085	15085
S3B-P4-Root-16S	14800	14800
S8B-P4-Root-16S	14581	14581
S1B-P4-Root-16S	14535	14535
S2D-P4-Root-16S	14479	14479
S11H-P4-Root-16S	14422	14422
S10B-P4-Root-16S	14310	14310
S2H-P5-Root-16S	14128	14128
S5E-P4-Root-16S	13894	13894
S6B-P4-Root-16S	13849	13849
S6H-P4-Root-16S	13225	13225
S5D-P5-Root-16S	13160	13160
S4E-P3-Root-16S	12991	12991
S3F-P5-Root-16S	12898	12898
S8G-P4-Root-16S	12734	12734
S5D-P4-Root-16S	12686	12686
S4B-P4-Root-16S	12437	12437
S1B-P3-Root-16S	12064	12064
S3D-P4-Root-16S	11974	11974
S2C-P3-Root-16S	11947	11947
S9C-P4-Root-16S	11921	11921
S9E-P4-Root-16S	11752	11752
S7C-P3-Root-16S	11744	11744
S5C-P4-Root-16S	11712	11712
S7B-P3-Root-16S	11675	11675
S5F-P3-Root-16S	11355	11355
S2C-P4-Root-16S	11278	11278
S2A-P3-Root-16S	11237	11237
S4C-P5-Root-16S	11159	11159
S1E-P5-Root-16S	10922	10922
S4E-P5-Root-16S	10922	10922
S4C-P4-Root-16S	10894	10894
S2F-P5-Root-16S	10464	10464
S6A-P4-Root-16S	9997	9997
S2G-P5-Root-16S	9917	9917
S6B-P5-Root-16S	9762	9762
S3H-P4-Root-16S	9463	9463
S3C-P4-Root-16S	9371	9371
S6D-P5-Root-16S	9093	9093
S6D-P3-Root-16S	9021	9021
S11G-P4-Root-16S	8937	8937
S11D-P4-Root-16S	8908	8908
S3A-P3-Root-16S	8808	8808
S3E-P5-Root-16S	8615	8615
S9G-P4-Root-16S	8226	8226
S6C-P3-Root-16S	8073	8073
S5A-P4-Root-16S	7617	7617
S5B-P4-Root-16S	7250	7250
S2D-P5-Root-16S	7049	7049
S7G-P4-Root-16S	6908	6908
S4A-P4-Root-16S	6884	6884
S8F-P3-Root-16S	6834	6834
S11C-P4-Root-16S	6792	6792
S7A-P4-Root-16S	6680	6680
S1A-P4-Root-16S	6625	6625
S2E-P5-Root-16S	6268	6268
S4B-P5-Root-16S	6196	6196
S6A-P5-Root-16S	6191	6191
S9D-P4-Root-16S	6148	6148
S4C-P3-Root-16S	6063	6063
S8C-P4-Root-16S	5707	5707
S6F-P3-Root-16S	5690	5690
S4G-P4-Root-16S	5631	5631
S5E-P5-Root-16S	5603	5603
S3C-P3-Root-16S	5447	5447
S4F-P5-Root-16S	5397	5397
S5F-P5-Root-16S	5164	5164
S10C-P4-Root-16S	5075	5075
S7D-P4-Root-16S	4855	4855
S5A-P3-Root-16S	4685	4685
S6C-P4-Root-16S	4590	4590
S10A-P3-Root-16S	4413	4413
S6A-P3-Root-16S	4219	4219
S7C-P4-Root-16S	3462	3462
S2B-P3-Root-16S	2776	2776
S4D-P4-Root-16S	2744	2744
S4B-P3-Root-16S	2199	2199
S9E-P3-Root-16S	1880	1880
S6B-P3-Root-16S	1558	1558
S9C-P3-Root-16S	1132	1132
S6G-P4-Root-16S	1046	1046
S5B-P3-Root-16S	1039	1039
empty2	893	893
S9H-P3-Root-16S	724	724
S2F-P4-Root-16S	587	587
S3G-P4-Root-16S	582	582
empty6	572	572
S6E-P3-Root-16S	518	518
S1H-P3-Root-16S	422	422
NTC-Amp1-P3-Root-16S	411	411
empty5	362	362
empty11	321	321
NTC-Amp2-P3-Root-16S	315	315
Ext-Blank1-P4-Root-16S	264	264
S7H-P3-Root-16S	237	237
empty4	221	221
empty3	208	208
empty10	191	191
empty1	146	146
S1A-P3-Root-16S	141	141
Ext-Blank2-P3-Root-16S	139	139
empty7	114	114
S2H-P3-Root-16S	102	102
empty12	96	96
Ext-Blank1-P3-Root-16S	95	95
S5H-P3-Root-16S	81	81
empty8	81	81
S4H-P3-Root-16S	75	75
NTC-Amp2-P5-Root-16S	48	48
empty9	40	40
NTC-Amp1-P5-Root-16S	27	27
Ext-Blank1-P5-Root-16S	23	23
NTC-Amp2-P4-Root-16S	23	23
Ext-Blank2-P5-Root-16S	18	18
empty1-P4	7	7
NTC-Amp1-P4-Root-16S	5	5
Ext-Blank2-P4-Root-16S	5	5
empty13	2	2
empty19	1	1
empty17	1	1
empty18	1	1
empty16	0	0
empty15	0	0
empty14	0	0
