sample ID	forward sequence count	reverse sequence count
BESC103-R11-Fall2018-16S	388491	388491
BESC103-R41-Jun2019-16S	271371	271371
GW9823-Corv-R5-Jun2019-16S	238477	238477
D176-R5-Jun2019-16S	235585	235585
BESC71-Corv-R17-Fall2018-16S	215371	215371
BESC22-Corv-R15-Jun2019-16S	204082	204082
BESC801-Corv-R2-Jun2019-16S	185785	185785
D411-R4-Jun2019-16S	185595	185595
BESC71-Corv-R14-Jun2019-16S	181234	181234
BESC148-Corv-R5-Jun2019-16S	181082	181082
BESC148-R5-Jun2019-16S	161932	161932
BESC801-R44-Jun2019-16S	161852	161852
BESC261-Corv-R16-Fall2018-16S	160162	160162
BESC835-Corv-R1-Jun2019-16S	153907	153907
BESC148-Corv-R7-Winter2019-16S	144483	144483
BESC261-Corv-R11-Jun2019-16S	141834	141834
D411-R15-Jun2019-16S	140986	140986
BESC103-R7-Jun2019-16S	140704	140704
BESC835-R12-Jun2019-16S	139278	139278
BESC801-Corv-R9-Winter2019-16S	136401	136401
BESC103-Corv-R12-Jun2019-16S	131352	131352
BESC22-Corv-R11-Winter2019-16S	127266	127266
D176-R27-Winter2019-16S	125387	125387
BESC801-R8-Jun2019-16S	124544	124544
BESC71-R27-Jun2019-16S	121710	121710
D411-R8-Winter2019-16S	121134	121134
D176-R17-Fall2018-16S	119179	119179
GW9823-R5-Jun2019-16S	116382	116382
BESC835-R41-Winter2019-16S	109779	109779
BESC71-R44-Winter2019-16S	107136	107136
BESC22-Corv-R3-Jun2019-16S	104997	104997
BESC261-Corv-R10-Winter2019-16S	104164	104164
BESC261-Corv-R6-Jun2019-16S	101404	101404
BESC103-Corv-R6-Jun2019-16S	97953	97953
BESC71-Corv-R9-Winter2019-16S	96847	96847
BESC71-Corv-R5-Jun2019-16S	94801	94801
BESC148-R22-Jun2019-16S	93207	93207
BESC801-Corv-R17-Winter2019-16S	92693	92693
BESC801-Corv-R11-Jun2019-16S	88684	88684
BESC71-Corv-R10-Jun2019-16S	88228	88228
D176-R11-Jun2019-16S	87916	87916
BESC835-Corv-R5-Jun2019-16S	87355	87355
BESC148-R1-Winter2019-16S	87164	87164
BESC71-R9-Jun2019-16S	85609	85609
BESC835-R42-Jun2019-16S	84602	84602
D176-R17-Jun2019-16S	84094	84094
BESC22-Corv-R16-Winter2019-16S	81506	81506
BESC261-Corv-R2-Winter2019-16S	79120	79120
BESC148-Corv-R4-Jun2019-16S	78992	78992
BESC22-Corv-R7-Jun2019-16S	78421	78421
BESC71-Corv-R1-Winter2019-16S	78286	78286
BESC801-Corv-R7-Winter2019-16S	78283	78283
BESC801-R3-Winter2019-16S	75740	75740
BESC103-R23-Winter2019-16S	75070	75070
BESC103-Corv-R14-Jun2019-16S	74849	74849
BESC835-Corv-R16-Winter2019-16S	74157	74157
BESC835-R10-Winter2019-16S	72008	72008
BESC801-R23-Jun2019-16S	69497	69497
D176-R5-Winter2019-16S	68450	68450
BESC148-R11-Jun2019-16S	68436	68436
BESC103-Corv-R3-Winter2019-16S	68390	68390
BESC22-Corv-R4-Winter2019-16S	66700	66700
GW9823-R35-Jun2019-16S	66221	66221
BESC103-R40-Winter2019-16S	65686	65686
BESC103-Corv-R16-Winter2019-16S	65293	65293
BESC71-R21-Winter2019-16S	60805	60805
BESC835-Corv-R6-Winter2019-16S	60489	60489
BESC261-Corv-R15-Winter2019-16S	59250	59250
BESC835-R22-Jun2019-16S	57333	57333
BESC103-R24-Jun2019-16S	57319	57319
D411-R17-Winter2019-16S	54773	54773
BESC801-R41-Winter2019-16S	53937	53937
BESC103-R11-Winter2019-16S	52034	52034
D411-R22-Winter2019-16S	50296	50296
BESC835-R24-Winter2019-16S	50161	50161
GW9823-R8-Winter2019-16S	49394	49394
BESC71-R3-Winter2019-16S	49317	49317
BESC261-Corv-R15-Jun2019-16S	49019	49019
D411-R26-Jun2019-16S	48737	48737
BESC835-Corv-R14-Winter2019-16S	47144	47144
D176-R9-Winter2019-16S	46315	46315
BESC148-R8-Winter2019-16S	44943	44943
BESC148-R16-Winter2019-16S	44469	44469
GW9823-R32-Winter2019-16S	42295	42295
GW9823-Corv-R8-Winter2019-16S	41824	41824
BESC148-Corv-R1-Fall2018-16S	39545	39545
BESC835-R822-Jun2019-16S	39341	39341
GW9823-R49-Jun2019-16S	34871	34871
BESC71-R48-Jun2019-16S	34518	34518
BESC103-R40-Fall2018-16S	34221	34221
BESC148-Corv-R1-Winter2019-16S	29817	29817
GW9823-Corv-R1-Winter2019-16S	25802	25802
BESC801-R16-Winter2019-16S	25674	25674
BESC71-Corv-R17-Winter2019-16S	23941	23941
GW9823-R43-Winter2019-16S	22981	22981
BESC103-Corv-R9-Winter2019-16S	20912	20912
NTC-Amp1-16S	9	9
Extraction-Blank-16S	4	4
NTC-Amp2-16S	2	2
