sample ID	forward sequence count	reverse sequence count
S106-16S-RE-PL1-2-REDO	6596	6596
Besc71-corv-r17-Aug2019-16S-REDO	6119	6119
S10-16S-RE-PL1-2-REDO	6055	6055
S130-16S-RE-PL1-2-REDO	5850	5850
S21-16S-RE-PL1-2-REDO	5751	5751
Besc22-corv-r3-Feb2018-16S-REDO	5608	5608
S145-16S-RE-PL1-2-REDO	5206	5206
Besc71-corv-r9-Aug2018-16S-REDO	4650	4650
S138-16S-RE-PL1-2-REDO	4527	4527
S6C-P4-Root-16S-RE-REDO	4518	4518
S135-16S-RE-PL1-2-REDO	4377	4377
S152-16S-RE-PL1-2-REDO	4353	4353
S4H-16S-LE-REDO	3922	3922
Besc148-r11-Feb2018-16S-REDO	3841	3841
S109-16S-RE-PL1-2-REDO	3357	3357
S15-16S-RE-PL1-2-REDO	3242	3242
S36-16S-RE-PL1-2-REDO	3036	3036
S3G-16S-LE-REDO	2795	2795
Besc103-corv-r6-Oct2019-16S-REDO	1737	1737
S32-16S-RE-PL1-2-REDO	1589	1589
S5C-16S-LE-REDO	771	771
S3H-16S-LE-REDO	414	414
S5D-16S-LE-REDO	371	371
S2A-16S-LE-REDO	147	147
S4A-16S-LE-REDO	85	85
S4B-16S-LE-REDO	84	84
S6H-16S-LE-REDO	34	34
Alyssa2-REDO	19	19
Alyssa1-REDO	18	18
Alyssa3-REDO	15	15
NTC-Amp1-16S-REDO	3	3
Alyssa4-REDO	2	2
NTC-ExtBlank-16S-LE	2	2
NTC-Amp2-16S-REDO	1	1
