sample ID	forward sequence count	reverse sequence count
Besc22-R16-Jun2018-16S	508146	508146
Besc103-corv-R16-Jun2018-16S	368511	368511
Besc71-R44-Jun2018-16S	364158	364158
Besc835-corv-R6-Jun2018-16S	341926	341926
Besc71-corv-R17-Jun2018-16S	328296	328296
Besc71-R9-Oct2018-16S	269546	269546
Besc801-corv-R9-Jun2018-16S	257571	257571
Besc801-R26-Jun2018-16S	254895	254895
Besc103-R9-Jun2018-16S	220663	220663
Besc835-R41-Jun2018-16S	220257	220257
D176-R17-Jun2018-16S	219027	219027
Besc22-corv-R11-Jun2018-16S	205470	205470
GW9823-R32-Jun2018-16S	201019	201019
Besc103-R40-Jun2018-16S	200024	200024
D411-R7-Oct2018-16S	199963	199963
GW9823-R8-Jun2018-16S	198586	198586
Besc261-corv-R2-Jun2018-16S	193499	193499
Besc835-corv-R6-Oct2018-16S	173519	173519
Besc103-R23-Jun2018-16S	147679	147679
Besc148-corv-R7-Jun2018-16S	134673	134673
DD176-R5-Oct2018-16S	134503	134503
GW9823corv-R1-Jun2018-16S	130980	130980
Besc261-corv-R15-Jun2018-16S	130973	130973
GW9823-corv-R8-Jun2018-16S	127394	127394
Besc801-R3-Jun2018-16S	125086	125086
Besc103-R11-Jun2018-16S	124698	124698
Besc103-corv-R3-Jun2018-16S	118115	118115
Besc835-R23-Jun2018-16S	112551	112551
D411-R17-Jun2018-16S	107812	107812
BESC103-corv-R3-Oct2018-16S	107601	107601
GW9823-R43-Jun2018-16S	107162	107162
Besc148-corv-R1-Oct2018-16S	103183	103183
Besc22-corv-R6-Jun2018-16S	99010	99010
Besc261-corv-R16-Oct2018-16S	98418	98418
Besc801-corv-R17-Oct2018-16S	92389	92389
GW9823-R32-Oct2018-16S	88951	88951
Besc22-corv-R6-Oct2018-16S	81234	81234
Besc103-cov-R6-Oct2018-16S	77119	77119
Besc801-R41-Oct2018-16S-B	74463	74463
Besc71-R21-Oct2018-16S-B	73081	73081
Besc801-R41-Oct2018-16S	72792	72792
Besc71-R44-Oct2018-16S	69340	69340
D176-R9-Jun2018-16S	65301	65301
Besc801-corv-R9-Oct2018-16S	61948	61948
Besc261-corv-R10-Jun2018-16S	61691	61691
D176-R17-Oct2018-16S	57094	57094
Besc71-corv-R9-Oct2018-16S	55506	55506
Besc801-R16-Oct2018-16S	55250	55250
Besc835-R10-Oct2018-16S	53622	53622
Besc103-corv-R9-Oct2018-16S	52376	52376
Besc835-R41-Oct2018-16S	49855	49855
BESC71-corv-R17-Oct2018-16S	44267	44267
Besc801-corv-R17-Oct2018-16S-B	42256	42256
Besc71-R3-Jun2018-16S	41752	41752
Besc71-corv-R1-Jun2018-16S	40002	40002
Besc103-R40-Oct2018-16S	35655	35655
GW9823-corv-R8-Oct2018-16S	28955	28955
Besc801-R7-Jun2018-16S	14894	14894
Ext-blank1-P1-16S	210	210
Ext-blank1-P2-16S	199	199
Ext-blank2-P1-16S	185	185
Besc71-R21-Oct2018-16S	168	168
NTC-Amp1-16S	89	89
NTC-Amp2-16S	80	80
Ext-blank2-P3-16S	13	13
Ext-blank1-P3-16S	11	11
Ext-blank2-P2-16S	10	10
